,,,,,,,,,,
,,,,,Dữ liệu từ ngày: 29/01/2019 đến ngày: 11/04/2023,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Ngày,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Đóng cửa,+/- giá,+/- % giá,Khớp lệnh,,,
,,,,,,,KL,GT,,
11/04/2023,"5,749,500","242,682","59,559","40,700",-300,-0.73,"2,852,300","115,640",,
10/04/2023,"10,616,296","436,606","59,998","41,000","2,000",5.13,"5,829,400","236,992",,
07/04/2023,"2,661,000","105,114","57,072","39,000",-100,-0.26,"2,032,200","78,830",,
06/04/2023,"2,531,100","101,826","57,218","39,100",-650,-1.64,"1,971,300","78,034",,
05/04/2023,"1,735,900","68,838","58,169","39,750",-50,-0.13,"1,735,900","68,838",,
04/04/2023,"3,133,300","124,141","58,242","39,800",800,2.05,"3,133,300","124,141",,
03/04/2023,"2,940,000","116,300","57,072","39,000",450,1.17,"2,112,100","82,191",,
31/03/2023,"3,474,400","138,678","56,413","38,550",-50,-0.13,"1,815,500","70,165",,
30/03/2023,"6,491,100","261,385","56,486","38,600",-100,-0.26,"2,665,800","103,133",,
29/03/2023,"2,806,304","112,151","56,633","38,700",-400,-1.02,"1,830,200","71,350",,
28/03/2023,"5,829,700","229,922","57,218","39,100","1,000",2.62,"4,198,400","163,615",,
27/03/2023,"3,170,100","122,613","55,755","38,100",150,0.4,"2,465,100","93,990",,
24/03/2023,"2,964,900","115,468","55,535","37,950",150,0.4,"1,729,500","65,558",,
23/03/2023,"2,890,500","113,804","55,316","37,800",-150,-0.4,"1,238,600","46,737",,
22/03/2023,"2,407,000","94,421","55,535","37,950",-550,-1.43,"1,507,000","57,386",,
21/03/2023,"3,378,100","133,988","56,340","38,500",400,1.05,"1,411,300","53,841",,
20/03/2023,"3,288,800","130,102","55,755","38,100","-1,300",-3.3,"2,298,600","88,365",,
17/03/2023,"1,372,278","55,109","57,657","39,400",,,"953,800","37,470",,
16/03/2023,"1,965,000","78,041","57,657","39,400",-600,-1.5,"1,665,000","65,201",,
15/03/2023,"2,271,700","90,968","58,535","40,000","1,400",3.63,"1,899,200","75,584",,
14/03/2023,"1,834,600","71,907","56,486","38,600",-800,-2.03,"1,611,600","62,508",,
13/03/2023,"1,349,100","53,562","57,657","39,400",-350,-0.88,"1,349,100","53,562",,
10/03/2023,"1,611,840","64,087","58,169","39,750",-250,-0.63,"1,573,000","62,425",,
09/03/2023,"2,796,410","113,280","58,535","40,000",600,1.52,"2,116,000","84,601",,
08/03/2023,"3,226,400","129,819","57,657","39,400",-300,-0.76,"2,029,100","78,994",,
07/03/2023,"1,618,818","64,466","58,096","39,700",300,0.76,"1,585,700","63,070",,
06/03/2023,"1,474,200","58,816","57,657","39,400",,,"1,474,200","58,816",,
03/03/2023,"1,878,100","74,682","57,657","39,400",-900,-2.23,"1,857,500","73,794",,
02/03/2023,"1,120,300","46,095","58,974","40,300",-500,-1.23,"868,900","35,121",,
01/03/2023,"1,904,100","77,413","59,706","40,800",800,2,"1,520,500","60,995",,
28/02/2023,"1,596,900","64,491","58,535","40,000",-500,-1.23,"1,567,900","63,235",,
