,,,,,,,,,,,,,,,,,
,,,,,D? li?u t? ngày: 29/01/2019 d?n ngày: 15/04/2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ngày,Room,Room còn l?i,,GD KH?P L?NH MUA,,,,GD KH?P L?NH BÁN,,,,Chênh l?ch Mua Bán Kh?p l?nh,,GD TH?A THU?N MUA,,,
,NÐTNN,,,,,,,,,,,,,,,,
14/04/2023,"717,300,847",72,,-,,-,,-,,-,,-,-,-,,-,
13/04/2023,"717,300,847",72,,-,,-,,-,,-,,-,-,"581,000",100,"25,286,500,000",100
12/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"1,695,700",100,"73,762,950,000",100
11/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"2,897,200",100,"127,042,220,000",100
10/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"5,403,900",112.89,"225,342,630,000",112.89
7/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"628,800",100,"26,283,840,000",100
6/4/2023,"717,300,847",-,,100,0.01,"4,000,000",0.01,-,,-,,100,"4,000,000","559,800",100,"23,791,500,000",100
5/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,-,,-,
4/4/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,-,,-,
3/4/2023,"717,300,847",-,,59,,-,,100,,"3,895,000",,-41,"-3,895,000","1,073,000",129.61,"44,207,600,000",129.61
31/03/2023,"717,300,847",-,,54,,-,,-,,-,,54,-,"1,658,900",100,"68,512,570,000",100
30/03/2023,"717,300,847",-,,"1,000",0.04,"38,800,000",0.04,-,,-,,"1,000","38,800,000","3,825,300",100,"158,251,920,000",100
29/03/2023,"717,300,847",-,,100,0.01,"3,925,000",0.01,"20,455",1.12,"795,540,000",1.12,"-20,355","-791,615,000","1,176,100",120.49,"49,160,980,000",120.49
28/03/2023,"717,300,847",-,,-,,-,,54,,-,,-54,-,"1,631,300",100,"66,306,725,000",100
27/03/2023,"717,300,847",-,,"5,000",0.2,"190,000,000",0.2,"1,000",0.04,"38,030,000",0.04,"4,000","151,970,000","705,000",100,"28,623,000,000",100
24/03/2023,"717,300,847",-,,-,,-,,100,0.01,"3,760,000",0.01,-100,"-3,760,000","1,235,400",100,"49,910,160,000",100
23/03/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"1,651,900",100,"67,067,140,000",100
22/03/2023,"717,300,847",-,,-,,-,,"5,000",0.33,"190,355,000",0.33,"-5,000","-190,355,000","1,130,000",125.56,"46,499,500,000",125.56
21/03/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"1,966,800",100,"80,147,100,000",100
20/03/2023,"717,300,847",-,,200,0.01,-,,-,,-,,200,-,"990,200",100,"41,736,930,000",100
17/03/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"418,478",100,"17,638,847,700",100
16/03/2023,"717,300,847",-,,-,,-,,-,,-,,-,-,"350,000",116.67,"14,980,000,000",116.67
